num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete,booking_timing,total_addons,flight_time_category,is_long_flight,lead_x_duration
1,Internet,round_trip,245,34,4,Tue,AKLDEL,New Zealand,1,1,1,5.52,0,early,3,midnight,0,1352.3999999999999
1,Internet,round_trip,192,18,14,Thu,AKLDEL,India,1,0,0,5.52,0,early,1,afternoon,0,1059.84
1,Internet,round_trip,259,37,6,Sun,AKLDEL,India,0,0,0,5.52,0,early,0,morning,0,1429.6799999999998
1,Internet,round_trip,19,29,10,Sat,AKLDEL,New Zealand,0,0,1,5.52,0,medium,1,morning,0,104.88
1,Internet,round_trip,67,155,8,Sun,AKLDEL,New Zealand,1,0,0,5.52,0,early,1,morning,0,369.84
1,Internet,round_trip,351,17,3,Sun,AKLHGH,China,0,0,0,5.07,0,early,0,midnight,0,1779.5700000000002
2,Internet,round_trip,228,29,23,Wed,AKLHND,New Zealand,1,0,0,7.57,0,early,1,evening,0,1725.96
1,Internet,round_trip,21,88,9,Wed,AKLICN,South Korea,1,0,1,6.62,0,medium,2,morning,0,139.02
2,Internet,round_trip,23,19,8,Mon,AKLICN,New Zealand,1,0,1,6.62,0,medium,2,morning,0,152.26
2,Internet,round_trip,25,27,13,Fri,AKLICN,South Korea,1,0,1,6.62,0,medium,2,afternoon,0,165.5
1,Internet,round_trip,16,21,6,Thu,AKLICN,New Zealand,1,0,1,6.62,0,medium,2,morning,0,105.92
1,Internet,round_trip,66,20,7,Thu,AKLICN,South Korea,1,0,0,6.62,0,early,1,morning,0,436.92
1,Internet,round_trip,51,28,6,Fri,AKLICN,South Korea,0,0,0,6.62,0,early,0,morning,0,337.62
2,Internet,round_trip,37,24,7,Mon,AKLICN,New Zealand,1,0,0,6.62,0,early,1,morning,0,244.94
1,Internet,round_trip,101,19,11,Tue,AKLICN,South Korea,1,0,1,6.62,0,early,2,morning,0,668.62
1,Internet,round_trip,19,47,2,Tue,AKLICN,New Zealand,1,0,1,6.62,0,medium,2,midnight,0,125.78
1,Internet,round_trip,16,35,23,Wed,AKLICN,New Zealand,1,1,0,6.62,0,medium,2,evening,0,105.92
2,Internet,round_trip,7,82,4,Thu,AKLICN,South Korea,1,0,1,6.62,0,medium,2,midnight,0,46.34
1,Internet,round_trip,5,27,0,Fri,AKLICN,New Zealand,0,0,1,6.62,0,late,1,midnight,0,33.1
1,Internet,round_trip,185,34,4,Mon,AKLICN,New Zealand,1,0,1,6.62,0,early,2,midnight,0,1224.7
1,Internet,round_trip,21,22,7,Fri,AKLICN,New Zealand,1,1,0,6.62,0,medium,2,morning,0,139.02
1,Internet,round_trip,7,27,4,Wed,AKLICN,New Zealand,0,0,1,6.62,0,medium,1,midnight,0,46.34
1,Internet,round_trip,33,22,14,Sat,AKLICN,South Korea,1,0,0,6.62,0,early,1,afternoon,0,218.46
6,Internet,round_trip,20,22,3,Fri,AKLICN,South Korea,1,1,1,6.62,0,medium,3,midnight,0,132.4
2,Internet,round_trip,56,21,7,Thu,AKLICN,New Zealand,1,0,0,6.62,0,early,1,morning,0,370.72
1,Internet,round_trip,3,33,1,Mon,AKLICN,South Korea,1,0,1,6.62,0,late,2,midnight,0,19.86
1,Internet,round_trip,13,26,7,Mon,AKLICN,South Korea,1,0,0,6.62,0,medium,1,morning,0,86.06
1,Internet,round_trip,71,90,7,Thu,AKLICN,South Korea,1,1,1,6.62,0,early,3,morning,0,470.02
2,Internet,round_trip,346,23,8,Mon,AKLICN,South Korea,1,0,1,6.62,0,early,2,morning,0,2290.52
1,Internet,round_trip,9,84,7,Wed,AKLICN,New Zealand,1,0,0,6.62,0,medium,1,morning,0,59.58
1,Internet,round_trip,65,22,14,Thu,AKLICN,South Korea,1,0,0,6.62,0,early,1,afternoon,0,430.3
1,Mobile,round_trip,221,61,2,Sun,AKLICN,New Zealand,0,0,0,6.62,0,early,0,midnight,0,1463.02
1,Internet,round_trip,65,18,14,Wed,AKLICN,South Korea,0,0,1,6.62,0,early,1,afternoon,0,430.3
2,Internet,round_trip,7,40,7,Wed,AKLICN,South Korea,1,0,1,6.62,0,medium,2,morning,0,46.34
1,Internet,round_trip,107,24,14,Fri,AKLICN,South Korea,0,1,0,6.62,0,early,1,afternoon,0,708.34
1,Internet,round_trip,14,27,10,Wed,AKLICN,New Zealand,0,0,0,6.62,0,medium,0,morning,0,92.68
1,Internet,round_trip,77,96,9,Tue,AKLICN,New Zealand,1,0,1,6.62,0,early,2,morning,0,509.74
1,Internet,round_trip,65,17,9,Wed,AKLICN,New Zealand,1,0,0,6.62,0,early,1,morning,0,430.3
1,Internet,round_trip,24,25,8,Thu,AKLICN,South Korea,1,0,1,6.62,0,medium,2,morning,0,158.88
1,Internet,round_trip,47,69,2,Wed,AKLICN,South Korea,1,1,1,6.62,0,early,3,midnight,0,311.14
1,Internet,round_trip,22,89,14,Tue,AKLICN,South Korea,1,0,1,6.62,0,medium,2,afternoon,0,145.64000000000001
2,Internet,round_trip,11,25,4,Thu,AKLICN,South Korea,1,0,1,6.62,0,medium,2,midnight,0,72.82000000000001
1,Internet,round_trip,35,25,6,Tue,AKLICN,South Korea,0,0,1,6.62,0,early,1,morning,0,231.70000000000002
1,Internet,round_trip,272,21,14,Tue,AKLICN,New Zealand,1,0,0,6.62,0,early,1,afternoon,0,1800.64
1,Internet,round_trip,20,18,10,Mon,AKLICN,New Zealand,0,0,0,6.62,0,medium,0,morning,0,132.4
1,Internet,round_trip,250,23,9,Sun,AKLICN,South Korea,1,0,1,6.62,0,early,2,morning,0,1655.0
1,Internet,round_trip,161,58,2,Sat,AKLICN,South Korea,1,0,1,6.62,0,early,2,midnight,0,1065.82
4,Internet,round_trip,128,21,9,Mon,AKLICN,New Zealand,1,1,0,6.62,0,early,2,morning,0,847.36
1,Internet,round_trip,190,27,14,Sun,AKLICN,South Korea,1,0,1,6.62,0,early,2,afternoon,0,1257.8
4,Internet,round_trip,311,27,6,Sat,AKLICN,New Zealand,0,1,0,6.62,0,early,1,morning,0,2058.82
1,Internet,round_trip,27,56,7,Fri,AKLICN,South Korea,1,0,1,6.62,0,medium,2,morning,0,178.74
2,Internet,round_trip,314,43,10,Sun,AKLICN,New Zealand,0,0,0,6.62,0,early,0,morning,0,2078.68
1,Internet,round_trip,25,29,11,Wed,AKLICN,South Korea,1,0,1,6.62,0,medium,2,morning,0,165.5
1,Internet,round_trip,102,110,6,Tue,AKLICN,South Korea,1,0,0,6.62,0,early,1,morning,0,675.24
1,Internet,round_trip,24,19,8,Mon,AKLICN,South Korea,1,0,1,6.62,0,medium,2,morning,0,158.88
1,Internet,round_trip,2,165,3,Mon,AKLKIX,Japan,1,0,0,7.0,0,late,1,midnight,0,14.0
1,Internet,round_trip,26,111,13,Mon,AKLKIX,Japan,1,0,1,7.0,0,medium,2,afternoon,0,182.0
1,Internet,round_trip,32,34,23,Sun,AKLKIX,New Zealand,0,0,0,7.0,0,early,0,evening,0,224.0
2,Internet,round_trip,57,38,5,Sun,AKLKIX,New Zealand,1,0,0,7.0,0,early,1,morning,0,399.0
1,Internet,round_trip,198,207,10,Sun,AKLKIX,Japan,1,0,1,7.0,0,early,2,morning,0,1386.0
1,Internet,round_trip,23,27,11,Sat,AKLKIX,Japan,0,0,0,7.0,0,medium,0,morning,0,161.0
1,Internet,round_trip,33,20,6,Fri,AKLKTM,New Zealand,1,0,0,4.75,0,early,1,morning,0,156.75
2,Internet,round_trip,120,91,3,Mon,AKLKTM,New Zealand,1,0,1,4.75,0,early,2,midnight,0,570.0
2,Internet,round_trip,69,34,4,Thu,AKLKTM,New Zealand,1,0,0,4.75,0,early,1,midnight,0,327.75
1,Mobile,round_trip,281,18,3,Wed,AKLKTM,New Zealand,1,0,0,4.75,0,early,1,midnight,0,1334.75
1,Internet,round_trip,282,18,19,Tue,AKLKTM,New Zealand,1,0,0,4.75,0,early,1,evening,0,1339.5
1,Internet,round_trip,69,21,3,Wed,AKLKTM,New Zealand,1,0,0,4.75,0,early,1,midnight,0,327.75
1,Internet,round_trip,67,1,10,Tue,AKLKTM,New Zealand,1,0,0,4.75,0,early,1,morning,0,318.25
1,Internet,round_trip,15,31,17,Mon,AKLKUL,Malaysia,0,0,0,8.83,1,medium,0,afternoon,1,132.45
1,Internet,round_trip,31,274,10,Tue,AKLKUL,Malaysia,1,0,0,8.83,0,early,1,morning,1,273.73
1,Internet,round_trip,316,35,16,Tue,AKLKUL,Malaysia,1,0,0,8.83,0,early,1,afternoon,1,2790.28
2,Internet,round_trip,232,17,3,Tue,AKLKUL,Malaysia,1,1,1,8.83,0,early,3,midnight,1,2048.56
1,Internet,round_trip,156,19,14,Mon,AKLKUL,Malaysia,1,0,0,8.83,1,early,1,afternoon,1,1377.48
1,Internet,round_trip,196,44,23,Tue,AKLKUL,New Zealand,1,0,0,8.83,0,early,1,evening,1,1730.68
1,Internet,round_trip,283,38,9,Mon,AKLKUL,New Zealand,1,0,0,8.83,0,early,1,morning,1,2498.89
1,Internet,round_trip,34,24,5,Fri,AKLKUL,New Zealand,1,0,0,8.83,0,early,1,morning,1,300.22
1,Mobile,round_trip,63,57,8,Mon,AKLKUL,New Zealand,0,0,0,8.83,0,early,0,morning,1,556.29
1,Internet,round_trip,5,18,4,Tue,AKLKUL,New Zealand,0,0,0,8.83,0,late,0,midnight,1,44.15
1,Internet,round_trip,6,106,19,Tue,AKLKUL,Malaysia,0,0,0,8.83,0,late,0,evening,1,52.980000000000004
1,Internet,round_trip,227,68,2,Fri,AKLKUL,Malaysia,1,1,0,8.83,0,early,2,midnight,1,2004.41
1,Internet,round_trip,181,87,2,Tue,AKLKUL,Singapore,1,0,1,8.83,1,early,2,midnight,1,1598.23
1,Internet,round_trip,8,33,3,Tue,AKLKUL,New Zealand,0,0,0,8.83,0,medium,0,midnight,1,70.64
2,Internet,round_trip,138,35,19,Fri,AKLKUL,Switzerland,1,0,1,8.83,0,early,2,evening,1,1218.54
1,Internet,round_trip,134,37,20,Wed,AKLKUL,New Zealand,0,1,0,8.83,0,early,1,evening,1,1183.22
2,Internet,round_trip,8,29,18,Thu,AKLKUL,New Zealand,1,0,0,8.83,0,medium,1,evening,1,70.64
1,Internet,round_trip,23,51,13,Fri,AKLKUL,New Zealand,1,0,1,8.83,0,medium,2,afternoon,1,203.09
1,Mobile,round_trip,57,21,1,Sun,AKLKUL,Malaysia,1,1,1,8.83,0,early,3,midnight,1,503.31
2,Internet,round_trip,85,19,0,Mon,AKLKUL,New Zealand,1,1,0,8.83,0,early,2,midnight,1,750.55
1,Internet,round_trip,65,31,23,Sun,AKLKUL,New Zealand,0,0,0,8.83,0,early,0,evening,1,573.95
1,Internet,round_trip,27,1,13,Tue,AKLKUL,New Zealand,1,1,0,8.83,0,medium,2,afternoon,1,238.41
1,Internet,round_trip,93,196,8,Tue,AKLKUL,Germany,1,0,0,8.83,0,early,1,morning,1,821.19
1,Mobile,round_trip,16,77,8,Mon,AKLKUL,New Zealand,0,0,1,8.83,0,medium,1,morning,1,141.28
2,Internet,round_trip,118,17,8,Tue,AKLKUL,New Zealand,1,0,1,8.83,0,early,2,morning,1,1041.94
2,Internet,round_trip,90,20,7,Thu,AKLKUL,Malaysia,0,0,1,8.83,0,early,1,morning,1,794.7
1,Internet,round_trip,168,41,23,Mon,AKLKUL,New Zealand,1,0,1,8.83,0,early,2,evening,1,1483.44
1,Mobile,round_trip,127,17,16,Tue,AKLKUL,Malaysia,1,0,1,8.83,1,early,2,afternoon,1,1121.41
2,Mobile,round_trip,18,17,6,Mon,AKLKUL,New Zealand,1,1,1,8.83,0,medium,3,morning,1,158.94
1,Internet,round_trip,153,30,10,Tue,AKLKUL,New Zealand,1,1,0,8.83,0,early,2,morning,1,1350.99
1,Internet,round_trip,51,21,9,Sat,AKLKUL,Malaysia,1,0,1,8.83,0,early,2,morning,1,450.33
2,Internet,round_trip,186,27,2,Tue,AKLKUL,New Zealand,1,1,1,8.83,0,early,3,midnight,1,1642.38
1,Internet,round_trip,5,87,5,Tue,AKLKUL,Malaysia,1,0,0,8.83,0,late,1,morning,1,44.15
1,Internet,round_trip,65,278,2,Thu,AKLKUL,Malaysia,0,0,0,8.83,0,early,0,midnight,1,573.95
1,Internet,round_trip,2,18,6,Thu,AKLKUL,New Zealand,1,1,0,8.83,0,late,2,morning,1,17.66
1,Internet,round_trip,263,58,4,Sun,AKLKUL,Malaysia,0,1,0,8.83,0,early,1,midnight,1,2322.29
6,Internet,round_trip,172,28,0,Sat,AKLKUL,New Zealand,0,0,1,8.83,0,early,1,midnight,1,1518.76
1,Internet,round_trip,161,108,2,Thu,AKLKUL,New Zealand,1,1,0,8.83,0,early,2,midnight,1,1421.63
4,Internet,round_trip,230,29,17,Mon,AKLKUL,Malaysia,1,0,1,8.83,0,early,2,afternoon,1,2030.9
1,Internet,round_trip,7,21,0,Mon,AKLKUL,Indonesia,0,0,0,8.83,0,medium,0,midnight,1,61.81
1,Internet,round_trip,42,17,14,Tue,AKLKUL,Malaysia,0,0,0,8.83,1,early,0,afternoon,1,370.86
1,Internet,round_trip,71,29,10,Fri,AKLKUL,New Zealand,1,0,0,8.83,0,early,1,morning,1,626.93
1,Internet,round_trip,22,180,13,Thu,AKLKUL,Malaysia,1,0,0,8.83,1,medium,1,afternoon,1,194.26
1,Internet,round_trip,81,21,4,Fri,AKLKUL,New Zealand,1,0,0,8.83,0,early,1,midnight,1,715.23
2,Internet,round_trip,140,18,7,Sun,AKLKUL,China,1,0,0,8.83,0,early,1,morning,1,1236.2
1,Mobile,round_trip,42,72,14,Sat,AKLKUL,New Zealand,0,0,1,8.83,0,early,1,afternoon,1,370.86
1,Internet,round_trip,168,32,2,Tue,AKLKUL,New Zealand,1,1,0,8.83,0,early,2,midnight,1,1483.44
1,Internet,round_trip,285,30,12,Wed,AKLKUL,Czech Republic,1,1,1,8.83,0,early,3,afternoon,1,2516.55
2,Internet,round_trip,179,18,11,Thu,AKLKUL,Malaysia,1,0,1,8.83,0,early,2,morning,1,1580.57
2,Internet,round_trip,341,21,10,Sat,AKLKUL,New Zealand,1,0,0,8.83,0,early,1,morning,1,3011.03
2,Internet,round_trip,96,51,3,Thu,AKLKUL,New Zealand,1,0,1,8.83,0,early,2,midnight,1,847.6800000000001
4,Internet,round_trip,173,17,1,Thu,AKLKUL,New Zealand,1,0,1,8.83,0,early,2,midnight,1,1527.59
1,Internet,round_trip,180,24,9,Wed,AKLKUL,New Zealand,0,1,1,8.83,0,early,2,morning,1,1589.4
4,Internet,round_trip,366,17,16,Sun,AKLKUL,Malaysia,1,0,1,8.83,0,early,2,afternoon,1,3231.78
3,Internet,round_trip,229,17,13,Mon,AKLKUL,Malaysia,1,1,1,8.83,1,early,3,afternoon,1,2022.07
2,Internet,round_trip,174,61,11,Tue,AKLKUL,Malaysia,1,0,1,8.83,0,early,2,morning,1,1536.42
2,Internet,round_trip,82,25,18,Fri,AKLKUL,Czech Republic,1,0,0,8.83,0,early,1,evening,1,724.0600000000001
1,Internet,round_trip,75,62,6,Mon,AKLKUL,Malaysia,0,0,0,8.83,0,early,0,morning,1,662.25
2,Internet,round_trip,163,21,10,Mon,AKLKUL,New Zealand,1,0,0,8.83,0,early,1,morning,1,1439.29
1,Internet,round_trip,105,21,8,Fri,AKLKUL,New Zealand,1,0,0,8.83,0,early,1,morning,1,927.15
2,Internet,round_trip,276,45,6,Mon,AKLKUL,New Zealand,1,0,1,8.83,0,early,2,morning,1,2437.08
1,Internet,round_trip,35,31,3,Thu,AKLKUL,New Zealand,1,0,0,8.83,0,early,1,midnight,1,309.05
1,Internet,round_trip,110,26,23,Wed,AKLKUL,New Zealand,1,0,0,8.83,0,early,1,evening,1,971.3
1,Internet,round_trip,83,44,3,Sat,AKLKUL,Malaysia,1,0,0,8.83,0,early,1,midnight,1,732.89
1,Mobile,round_trip,154,25,22,Mon,AKLKUL,Malaysia,1,0,0,8.83,0,early,1,evening,1,1359.82
1,Internet,round_trip,118,19,1,Tue,AKLKUL,New Zealand,1,0,1,8.83,0,early,2,midnight,1,1041.94
1,Internet,round_trip,55,20,22,Wed,AKLKUL,New Zealand,0,0,0,8.83,0,early,0,evening,1,485.65
1,Mobile,round_trip,45,35,1,Sat,AKLKUL,New Zealand,0,0,0,8.83,0,early,0,midnight,1,397.35
1,Internet,round_trip,54,23,4,Sun,AKLKUL,New Zealand,0,0,1,8.83,0,early,1,midnight,1,476.82
1,Internet,round_trip,193,19,13,Tue,AKLKUL,Malaysia,0,0,0,8.83,0,early,0,afternoon,1,1704.19
1,Internet,round_trip,10,91,23,Tue,AKLKUL,Singapore,1,0,0,8.83,1,medium,1,evening,1,88.3
1,Internet,round_trip,166,18,20,Wed,AKLKUL,New Zealand,1,0,1,8.83,0,early,2,evening,1,1465.78
1,Internet,round_trip,97,25,9,Sun,AKLKUL,Malaysia,1,0,0,8.83,0,early,1,morning,1,856.51
5,Internet,round_trip,239,17,12,Thu,AKLKUL,Malaysia,1,0,1,8.83,0,early,2,afternoon,1,2110.37
2,Internet,round_trip,97,50,8,Sat,AKLKUL,New Zealand,1,1,1,8.83,0,early,3,morning,1,856.51
1,Internet,round_trip,182,28,10,Sun,AKLKUL,Vietnam,0,0,1,8.83,0,early,1,morning,1,1607.06
1,Internet,round_trip,99,21,13,Sun,AKLKUL,Singapore,0,0,0,8.83,1,early,0,afternoon,1,874.17
1,Internet,round_trip,23,59,9,Tue,AKLKUL,New Zealand,1,0,1,8.83,0,medium,2,morning,1,203.09
1,Mobile,round_trip,53,18,9,Mon,AKLKUL,Malaysia,1,1,0,8.83,0,early,2,morning,1,467.99
1,Internet,round_trip,28,125,12,Sat,AKLKUL,Malaysia,0,0,0,8.83,0,medium,0,afternoon,1,247.24
1,Internet,round_trip,384,18,5,Thu,AKLKUL,Malaysia,0,0,0,8.83,0,early,0,morning,1,3390.7200000000003
2,Internet,round_trip,22,27,23,Fri,AKLKUL,New Zealand,1,0,1,8.83,0,medium,2,evening,1,194.26
1,Internet,round_trip,70,106,3,Thu,AKLKUL,Malaysia,1,0,1,8.83,0,early,2,midnight,1,618.1
1,Internet,round_trip,126,28,20,Sun,AKLKUL,Germany,1,0,0,8.83,0,early,1,evening,1,1112.58
1,Internet,round_trip,8,45,8,Tue,AKLKUL,Malaysia,0,0,0,8.83,0,medium,0,morning,1,70.64
2,Internet,round_trip,51,29,11,Sun,AKLKUL,New Zealand,1,0,1,8.83,0,early,2,morning,1,450.33
1,Internet,round_trip,142,124,9,Wed,AKLKUL,Malaysia,1,0,0,8.83,1,early,1,morning,1,1253.86
1,Internet,round_trip,87,33,9,Sat,AKLKUL,Thailand,1,0,0,8.83,0,early,1,morning,1,768.21
5,Mobile,round_trip,238,21,8,Fri,AKLKUL,New Zealand,1,1,1,8.83,0,early,3,morning,1,2101.54
2,Internet,round_trip,86,34,0,Sat,AKLKUL,New Zealand,1,0,0,8.83,0,early,1,midnight,1,759.38
1,Mobile,round_trip,313,35,20,Sat,AKLKUL,New Zealand,1,0,0,8.83,0,early,1,evening,1,2763.79
2,Internet,round_trip,41,20,20,Sun,AKLKUL,Spain,1,1,1,8.83,0,early,3,evening,1,362.03000000000003
1,Internet,round_trip,91,46,8,Wed,AKLKUL,New Zealand,1,1,1,8.83,0,early,3,morning,1,803.53
1,Mobile,round_trip,41,21,12,Tue,AKLKUL,Malaysia,1,0,0,8.83,0,early,1,afternoon,1,362.03000000000003
1,Internet,round_trip,82,33,10,Tue,AKLKUL,New Zealand,1,0,0,8.83,0,early,1,morning,1,724.0600000000001
5,Internet,round_trip,206,17,13,Sun,AKLKUL,Malaysia,1,0,0,8.83,0,early,1,afternoon,1,1818.98
4,Internet,round_trip,6,55,5,Thu,AKLKUL,New Zealand,1,1,0,8.83,0,late,2,morning,1,52.980000000000004
5,Internet,round_trip,197,18,10,Fri,AKLKUL,Malaysia,1,0,1,8.83,0,early,2,morning,1,1739.51
1,Internet,round_trip,34,22,13,Tue,AKLKUL,Malaysia,1,0,1,8.83,1,early,2,afternoon,1,300.22
2,Internet,round_trip,112,21,17,Tue,AKLKUL,Malaysia,1,0,0,8.83,0,early,1,afternoon,1,988.96
2,Internet,round_trip,268,47,1,Mon,AKLKUL,New Zealand,1,0,1,8.83,0,early,2,midnight,1,2366.44
1,Internet,round_trip,157,26,15,Mon,AKLKUL,Romania,1,0,1,8.83,0,early,2,afternoon,1,1386.31
2,Internet,round_trip,145,51,4,Wed,AKLKUL,Malaysia,1,1,1,8.83,0,early,3,midnight,1,1280.35
4,Internet,round_trip,241,24,9,Mon,AKLKUL,New Zealand,0,0,0,8.83,0,early,0,morning,1,2128.03
1,Internet,round_trip,172,17,9,Fri,AKLKUL,Ireland,0,0,1,8.83,0,early,1,morning,1,1518.76
1,Internet,round_trip,99,19,7,Wed,AKLKUL,Malaysia,0,0,0,8.83,0,early,0,morning,1,874.17
1,Mobile,round_trip,139,22,8,Sun,AKLKUL,New Zealand,1,0,1,8.83,0,early,2,morning,1,1227.3700000000001
1,Internet,round_trip,59,35,13,Sun,AKLKUL,Malaysia,0,1,0,8.83,1,early,1,afternoon,1,520.97
1,Internet,round_trip,396,23,9,Mon,AKLKUL,New Zealand,1,0,1,8.83,0,early,2,morning,1,3496.68
2,Internet,round_trip,280,18,23,Tue,AKLKUL,Malaysia,1,0,1,8.83,0,early,2,evening,1,2472.4
1,Internet,round_trip,79,23,10,Tue,AKLKUL,Malaysia,0,0,0,8.83,0,early,0,morning,1,697.57
1,Internet,round_trip,37,26,21,Wed,AKLKUL,New Zealand,1,0,0,8.83,0,early,1,evening,1,326.71
2,Internet,round_trip,69,19,17,Sat,AKLKUL,Italy,1,0,0,8.83,0,early,1,afternoon,1,609.27
1,Internet,round_trip,380,21,21,Thu,AKLKUL,New Zealand,1,1,0,8.83,0,early,2,evening,1,3355.4
5,Internet,round_trip,206,17,13,Sun,AKLKUL,Malaysia,1,0,0,8.83,0,early,1,afternoon,1,1818.98
1,Internet,round_trip,13,27,1,Wed,AKLKUL,New Zealand,1,0,1,8.83,0,medium,2,midnight,1,114.79
1,Internet,round_trip,229,31,2,Fri,AKLKUL,New Zealand,0,0,1,8.83,0,early,1,midnight,1,2022.07
1,Internet,round_trip,132,20,9,Mon,AKLKUL,Slovakia,1,0,0,8.83,0,early,1,morning,1,1165.56
4,Internet,round_trip,121,18,6,Sun,AKLKUL,Malaysia,1,1,1,8.83,0,early,3,morning,1,1068.43
4,Internet,round_trip,316,22,14,Thu,AKLKUL,Malaysia,1,0,0,8.83,1,early,1,afternoon,1,2790.28
5,Internet,round_trip,67,35,2,Tue,AKLKUL,Malaysia,1,1,1,8.83,1,early,3,midnight,1,591.61
1,Internet,round_trip,419,21,16,Sun,AKLKUL,Malaysia,1,0,0,8.83,0,early,1,afternoon,1,3699.77
2,Internet,round_trip,18,46,2,Mon,AKLKUL,Malaysia,0,0,0,8.83,0,medium,0,midnight,1,158.94
1,Internet,round_trip,58,21,12,Wed,AKLKUL,United Arab Emirates,1,0,1,8.83,0,early,2,afternoon,1,512.14
2,Internet,round_trip,115,87,6,Wed,AKLKUL,Tonga,0,0,0,8.83,0,early,0,morning,1,1015.45
1,Internet,round_trip,236,91,6,Fri,AKLKUL,Malaysia,1,0,1,8.83,0,early,2,morning,1,2083.88
1,Internet,round_trip,225,25,6,Tue,AKLKUL,Germany,1,1,0,8.83,1,early,2,morning,1,1986.75
1,Internet,round_trip,116,56,15,Thu,AKLKUL,Malaysia,1,0,0,8.83,0,early,1,afternoon,1,1024.28
1,Internet,round_trip,34,90,7,Sat,AKLKUL,Malaysia,1,1,0,8.83,0,early,2,morning,1,300.22
1,Internet,round_trip,191,60,11,Sun,AKLKUL,Germany,1,0,1,8.83,0,early,2,morning,1,1686.53
1,Internet,round_trip,55,22,7,Sat,AKLKUL,New Zealand,1,0,0,8.83,0,early,1,morning,1,485.65
1,Mobile,round_trip,53,180,2,Sat,AKLKUL,New Zealand,1,0,0,8.83,0,early,1,midnight,1,467.99
1,Internet,round_trip,13,17,3,Sun,AKLKUL,New Zealand,0,0,0,8.83,0,medium,0,midnight,1,114.79
1,Internet,round_trip,275,36,4,Wed,AKLKUL,New Zealand,1,1,0,8.83,0,early,2,midnight,1,2428.25
1,Internet,round_trip,58,17,7,Sun,AKLKUL,New Zealand,1,0,1,8.83,0,early,2,morning,1,512.14
2,Internet,round_trip,45,25,1,Mon,AKLKUL,New Zealand,0,0,0,8.83,0,early,0,midnight,1,397.35
2,Internet,round_trip,417,22,4,Sun,AKLKUL,New Zealand,1,0,1,8.83,0,early,2,midnight,1,3682.11
2,Internet,round_trip,159,21,8,Fri,AKLKUL,New Zealand,1,0,0,8.83,0,early,1,morning,1,1403.97
2,Internet,round_trip,173,40,8,Sun,AKLKUL,New Zealand,0,0,0,8.83,0,early,0,morning,1,1527.59
2,Internet,round_trip,92,65,13,Mon,AKLKUL,Réunion,1,0,0,8.83,0,early,1,afternoon,1,812.36
1,Internet,round_trip,106,208,4,Thu,AKLKUL,Japan,1,0,0,8.83,0,early,1,midnight,1,935.98
3,Internet,round_trip,316,35,16,Tue,AKLKUL,Malaysia,0,0,0,8.83,0,early,0,afternoon,1,2790.28
2,Internet,round_trip,245,27,11,Mon,AKLKUL,New Zealand,0,0,0,8.83,1,early,0,morning,1,2163.35
3,Internet,round_trip,218,21,8,Tue,AKLKUL,New Zealand,0,0,0,8.83,0,early,0,morning,1,1924.94
1,Internet,round_trip,96,106,1,Sun,AKLKUL,New Zealand,1,1,1,8.83,0,early,3,midnight,1,847.6800000000001
1,Internet,round_trip,67,22,11,Mon,AKLKUL,Malaysia,0,0,0,8.83,0,early,0,morning,1,591.61
